region,baseline_strength,ketamine_strength,delta_strength
"Superior Temporal Gyrus, anterior division",12.151494,1.7484543,-10.40304
Planum Polare,4.458187,-4.422488,-8.880675
Occipital Pole,2.9240208,-4.8439417,-7.7679625
Lingual Gyrus,14.647745,6.904527,-7.743218
Frontal Medial Cortex,12.446594,5.997859,-6.448735
Cuneal Cortex,-0.47525883,-6.84098,-6.365721
"Lateral Occipital Cortex, inferior division",2.1905563,-2.215726,-4.4062824
Intracalcarine Cortex,13.324175,9.861018,-3.4631567
"Inferior Frontal Gyrus, pars opercularis",12.00876,9.039137,-2.9696236
Temporal Occipital Fusiform Cortex,13.980781,11.669104,-2.311677
