region,baseline_strength,ketamine_strength,delta_strength
"Cingulate Gyrus, posterior division",6.470891,14.594311,8.12342
"Inferior Temporal Gyrus, anterior division",3.0543077,11.172624,8.118316
Angular Gyrus,5.8949265,13.6412525,7.746326
Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),1.2705655,7.401891,6.1313257
"Middle Temporal Gyrus, anterior division",2.677691,8.374462,5.696771
Supracalcarine Cortex,-0.6249122,4.038893,4.6638055
Occipital Fusiform Gyrus,0.7754427,4.3332787,3.557836
Precentral Gyrus,-1.2815363,2.0256414,3.3071778
Parietal Opercular Cortex,9.988762,13.1839,3.195138
"Cingulate Gyrus, anterior division",9.369681,12.519693,3.150012
